dt,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description,date,hour,normal,economic_schedule,self-consumption,injection,rain,sealevel_pressure,surface_pressure,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,terrestrial_radiation_instant,sunshine_duration
1632992400,local,20.63,20.37,18.34,20.7,1026,,,62,1.03,,25,scattered clouds,2021-09-30,9,0.0,0.0,0.268,High,0.0,1026.0,1003.1,304.0,231.0,73.0,649.0,485.6,373.1,283.5,89.6,649.0,595.9,3600.0
1632996000,local,22.31,22.22,19.72,22.88,1026,,,62,0.73,,84,broken clouds,2021-09-30,10,0.0,0.0,0.268,High,0.0,1026.1,1003.3,474.0,389.0,85.0,767.6,691.4,533.8,438.1,95.7,767.6,778.6,3600.0
1632999600,local,22.94,22.91,22.79,23.99,1026,,,62,0.48,,30,scattered clouds,2021-09-30,11,0.0,0.0,0.278,Very High,0.0,1025.9,1003.3,605.0,509.0,96.0,820.1,846.9,646.6,544.0,102.6,820.1,905.1,3600.0
1633003200,local,24.49,24.4,20.72,24.59,1025,,,54,0.62,,65,broken clouds,2021-09-30,12,0.026,0.0,0.352,Very High,0.0,1025.5,1002.9,683.0,577.0,106.0,836.3,941.4,701.3,592.5,108.8,836.3,966.6,3600.0
1633006800,local,24.9,24.91,19.72,25.57,1024,,,56,1.21,,89,overcast clouds,2021-09-30,13,0.003,0.0,0.378,High,0.0,1024.8,1002.3,713.0,619.0,94.0,872.0,968.5,706.0,612.9,93.1,872.0,959.1,3600.0
1633010400,local,26.2,26.2,23.44,26.26,1024,,,51,2.17,,24,few clouds,2021-09-30,14,0.0,0.0,0.45,High,0.0,1023.9,1001.4,677.0,586.0,91.0,863.1,926.4,645.2,558.5,86.7,863.1,882.9,3600.0
1633014000,local,26.48,26.48,21.72,26.82,1023,,,49,3.05,,19,few clouds,2021-09-30,15,0.0,0.0,0.42,High,0.0,1023.2,1000.8,584.0,498.0,86.0,830.8,817.9,530.7,452.6,78.2,830.8,743.3,3600.0
1633017600,local,25.84,25.81,19.72,26.26,1023,,,51,3.27,,0,sky is clear,2021-09-30,16,0.054,0.0,0.35,High,0.0,1023.1,1000.6,442.0,360.0,82.0,755.4,650.3,373.6,304.3,69.3,755.4,549.7,3600.0
1633021200,local,23.67,23.69,17.72,24.23,1023,,,61,2.81,,1,sky is clear,2021-09-30,17,0.105,0.0,0.216,Low,0.0,1023.0,1000.4,260.0,181.0,79.0,567.6,435.1,188.4,131.2,57.3,567.6,315.4,3600.0
1633024800,local,22.02,22.03,16.72,23.12,1023,,,67,2.29,,55,broken clouds,2021-09-30,18,0.419,0.0,0.032,None,0.0,1023.1,1000.3,89.0,49.0,40.0,321.3,187.0,26.8,14.7,12.0,169.0,56.2,3016.14
1633028400,local,19.9,19.9,15.72,20.9,1023,,,75,1.65,,96,overcast clouds,2021-09-30,19,0.341,0.0,0.0,None,0.0,1023.1,1000.1,2.0,0.0,2.0,0.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0
1633032000,local,18.78,18.72,14.72,19.79,1023,,,77,1.08,,98,overcast clouds,2021-09-30,20,0.585,0.0,0.0,None,0.0,1023.5,1000.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633035600,local,18.23,18.2,14.72,18.48,1024,,,80,1.56,,98,overcast clouds,2021-09-30,21,0.523,0.0,0.0,None,0.0,1023.7,1000.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633039200,local,17.62,17.53,12.72,17.93,1023,,,80,1.32,,100,overcast clouds,2021-09-30,22,0.562,0.0,0.0,None,0.0,1023.4,1000.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633042800,local,17.67,17.63,13.72,17.93,1023,,,82,2.06,,100,overcast clouds,2021-09-30,23,0.599,0.0,0.0,None,0.0,1023.5,1000.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633046400,local,16.63,16.57,13.72,16.82,1023,,,85,1.23,,99,overcast clouds,2021-10-01,0,0.611,0.0,0.0,None,0.0,1023.4,1000.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633050000,local,16.05,15.96,12.72,16.26,1023,,,86,1.87,,92,overcast clouds,2021-10-01,1,0.557,0.0,0.0,None,0.0,1023.1,999.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633053600,local,16.15,16.04,12.72,16.26,1022,,,85,1.49,,93,overcast clouds,2021-10-01,2,0.446,0.0,0.0,None,0.0,1022.8,999.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633057200,local,16.14,16.11,12.72,16.26,1022,,,88,1.5,,14,few clouds,2021-10-01,3,0.336,0.0,0.0,None,0.0,1022.3,999.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633060800,local,15.07,14.96,12.72,15.15,1022,,,89,1.1,,60,broken clouds,2021-10-01,4,0.306,0.0,0.0,None,0.0,1022.2,998.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633064400,local,15.6,15.57,12.72,15.7,1022,,,90,1.35,,86,overcast clouds,2021-10-01,5,0.268,0.0,0.0,None,0.0,1022.2,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633068000,local,15.44,15.36,11.72,15.7,1022,,,89,1.24,,92,overcast clouds,2021-10-01,6,0.279,0.0,0.0,None,0.0,1022.4,999.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633071600,local,14.97,14.9,12.72,15.15,1022,,,91,1.06,,98,overcast clouds,2021-10-01,7,0.281,0.0,0.0,None,0.0,1022.5,999.2,5.0,0.0,5.0,0.0,45.1,12.2,0.0,12.2,0.0,109.9,0.0
1633075200,local,15.63,15.62,13.72,15.7,1023,,,91,1.18,,99,overcast clouds,2021-10-01,8,0.585,0.0,0.047,None,0.0,1022.6,999.4,102.0,33.0,69.0,188.6,238.8,155.7,50.4,105.3,188.6,364.6,3600.0
1633078800,local,15.71,15.56,15.66,16.78,1023,,,85,1.24,,94,overcast clouds,2021-10-01,9,0.064,0.0,0.187,Low,0.0,1023.0,1000.0,272.0,180.0,92.0,511.1,480.8,334.4,221.3,113.1,511.1,591.0,3600.0
1633082400,local,18.84,18.74,17.79,20.11,1023,,,75,2.09,,98,overcast clouds,2021-10-01,10,0.005,0.0,0.248,High,0.0,1022.9,1000.1,457.0,352.0,105.0,700.1,686.4,515.0,396.7,118.3,700.1,773.5,3600.0
1633086000,local,20.39,20.23,19.72,21.77,1023,,,67,2.19,,100,overcast clouds,2021-10-01,11,0.0,0.0,0.258,Very High,0.0,1023.1,1000.4,529.0,327.0,202.0,530.5,841.5,565.5,349.6,215.9,530.5,899.6,3600.0
1633089600,local,21.2,21.07,19.72,22.57,1023,,,65,2.66,,78,broken clouds,2021-10-01,12,0.0,0.0,0.262,Very High,0.0,1023.0,1000.4,545.0,307.0,238.0,447.9,935.7,559.6,315.2,244.4,447.9,960.8,3600.0
1633093200,local,22.24,22.03,19.72,23.68,1023,,,58,2.66,,77,broken clouds,2021-10-01,13,0.025,0.0,0.329,Very High,0.0,1022.6,1000.1,655.0,495.0,160.0,702.1,962.5,648.4,490.0,158.4,702.1,952.9,3600.0
1633096800,local,23.28,23.23,19.72,25.34,1022,,,60,2.66,,97,overcast clouds,2021-10-01,14,0.014,0.0,0.34,High,0.0,1022.1,999.6,611.0,429.0,182.0,636.6,920.0,582.0,408.6,173.4,636.6,876.3,3600.0
1633100400,local,23.77,23.82,19.72,24.04,1022,,,62,3.46,,100,overcast clouds,2021-10-01,15,0.02,0.0,0.373,High,0.0,1021.8,999.3,477.0,307.0,170.0,516.8,811.1,433.0,278.7,154.3,516.8,736.3,3600.0
1633104000,local,23.19,23.42,18.72,23.48,1022,,,71,3.44,,100,overcast clouds,2021-10-01,16,0.052,0.0,0.376,Medium,0.0,1021.6,999.0,346.0,191.0,155.0,405.4,643.2,291.8,161.1,130.7,405.4,542.4,3600.0
1633107600,local,21.63,21.86,18.72,22.01,1021,,,77,3.05,,100,overcast clouds,2021-10-01,17,0.189,0.0,0.267,Low,0.0,1021.6,998.9,161.0,45.0,116.0,143.6,427.8,115.9,32.4,83.5,143.6,307.9,2508.98
1633111200,local,20.52,20.72,17.72,20.7,1022,,,80,2.5,,100,overcast clouds,2021-10-01,18,0.714,0.0,0.034,None,0.0,1021.8,999.0,36.0,2.0,34.0,13.4,179.4,9.8,0.5,9.2,6.2,48.6,0.0
1633114800,local,19.49,19.74,17.72,19.79,1022,,,86,1.45,,100,overcast clouds,2021-10-01,19,0.422,0.0,0.0,None,0.0,1021.8,999.0,1.0,0.0,1.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0
1633118400,local,18.97,19.22,17.72,19.79,1022,,,88,0.85,,100,overcast clouds,2021-10-01,20,0.374,0.0,0.0,None,0.0,1021.6,998.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633122000,local,18.94,19.21,17.72,19.23,1022,,,89,0.97,,100,overcast clouds,2021-10-01,21,0.255,0.0,0.0,None,0.0,1021.6,998.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633125600,local,18.43,18.68,17.72,19.23,1021,,,90,1.58,,100,overcast clouds,2021-10-01,22,0.324,0.0,0.0,None,0.0,1021.2,998.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633129200,local,18.41,18.68,17.23,18.68,1020,,,91,1.11,,100,overcast clouds,2021-10-01,23,0.331,0.0,0.0,None,0.0,1020.7,997.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633132800,local,18.42,18.72,17.23,18.48,1020,,,92,1.55,,100,overcast clouds,2021-10-02,0,0.328,0.0,0.0,None,0.0,1020.4,997.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633136400,local,18.42,18.72,17.23,18.48,1020,,,92,1.92,,100,overcast clouds,2021-10-02,1,0.526,0.0,0.0,None,0.0,1019.8,996.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633140000,local,18.42,18.75,17.23,18.48,1019,,,93,2.33,,100,overcast clouds,2021-10-02,2,0.328,0.0,0.0,None,0.0,1019.3,996.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633143600,local,17.9,18.17,17.23,18.12,1018,,,93,2.32,,100,overcast clouds,2021-10-02,3,0.262,0.0,0.0,None,0.0,1018.3,995.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633147200,local,17.87,18.14,16.72,18.12,1018,,,93,2.32,,100,overcast clouds,2021-10-02,4,0.256,0.0,0.0,None,0.1,1017.7,994.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633150800,local,17.59,17.83,16.68,18.12,1017,,,93,2.95,,100,overcast clouds,2021-10-02,5,0.256,0.0,0.0,None,0.1,1017.3,994.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633154400,local,17.33,17.55,16.68,17.57,1017,,,93,3.2,,100,overcast clouds,2021-10-02,6,0.287,0.0,0.0,None,0.1,1017.1,994.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633158000,local,17.31,17.52,16.12,17.57,1017,,,93,3.55,,100,overcast clouds,2021-10-02,7,0.377,0.0,0.0,None,0.1,1017.2,994.4,2.0,0.0,2.0,0.0,42.8,4.9,0.0,4.9,0.0,105.1,0.0
1633161600,local,17.36,17.58,16.12,18.12,1017,,,93,3.78,,100,overcast clouds,2021-10-02,8,0.215,0.0,0.064,None,0.1,1017.1,994.3,42.0,8.0,34.0,46.7,234.1,64.6,12.3,52.3,46.7,359.8,0.0
1633165200,local,18.44,18.77,17.23,18.72,1017,,,93,3.57,,100,overcast clouds,2021-10-02,9,0.087,0.0,0.167,Low,0.1,1016.9,994.2,80.0,25.0,55.0,71.8,475.9,98.5,30.8,67.7,71.8,586.0,352.59
1633168800,local,19.53,19.84,18.12,19.59,1016,,,88,4.74,,96,overcast clouds,2021-10-02,10,0.052,0.0,0.201,Low,0.2,1016.5,993.8,149.0,27.0,122.0,54.1,681.3,168.0,30.4,137.6,54.1,768.3,0.0
1633172400,local,20.55,20.83,18.72,21.45,1016,,,83,5.41,,99,overcast clouds,2021-10-02,11,0.099,0.0,0.27,Medium,0.2,1016.3,993.6,159.0,2.0,157.0,3.3,836.2,170.0,2.1,167.9,3.3,894.1,0.0
1633176000,local,20.02,20.38,17.72,20.9,1015,,,88,5.52,1,100,light rain,2021-10-02,12,0.265,0.0,0.29,Low,0.4,1015.7,993.0,162.0,0.0,162.0,0.0,930.0,166.3,0.0,166.3,0.0,954.9,0.0
1633179600,local,18.98,19.34,17.72,20.34,1015,,,92,6.18,,100,overcast clouds,2021-10-02,13,0.741,0.0,0.214,None,0.4,1015.1,992.4,92.0,0.0,92.0,0.0,956.4,91.1,0.0,91.1,0.0,946.6,0.0
1633183200,local,19.03,19.42,17.89,20.34,1014,,,93,6.23,,100,overcast clouds,2021-10-02,14,0.202,0.0,0.261,Low,0.2,1014.2,991.6,251.0,64.0,187.0,95.7,913.6,238.9,60.9,178.0,95.7,869.6,1070.98
1633186800,local,19.03,19.42,18.44,19.79,1013,,,93,6.55,1,100,light rain,2021-10-02,15,0.735,0.0,0.244,Low,0.3,1013.5,990.9,205.0,57.0,148.0,96.8,804.3,185.9,51.7,134.2,96.8,729.3,1104.4
1633190400,local,19.02,19.38,18.44,19.23,1012,,,92,6.72,1,100,light rain,2021-10-02,16,0.936,0.0,0.144,None,0.3,1012.8,990.2,91.0,11.0,80.0,23.6,636.1,76.6,9.3,67.3,23.6,535.2,0.0
1633194000,local,18.99,19.32,17.72,19.54,1011,,,91,6.66,1,100,light rain,2021-10-02,17,0.418,0.0,0.056,None,0.3,1012.0,989.4,39.0,2.0,37.0,6.5,420.4,27.9,1.4,26.4,6.5,300.4,0.0
1633197600,local,18.96,19.29,17.72,19.04,1011,,,91,6.68,,100,overcast clouds,2021-10-02,18,0.388,0.0,0.016,None,0.2,1011.5,988.8,13.0,0.0,13.0,0.0,171.9,3.1,0.0,3.1,0.0,41.0,0.0
1633201200,local,18.43,18.73,17.72,18.48,1011,,,92,6.86,1,100,light rain,2021-10-02,19,0.52,0.0,0.0,None,0.4,1010.9,988.3,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0
1633204800,local,18.42,18.75,17.72,18.48,1010,,,93,7.14,1,100,light rain,2021-10-02,20,0.477,0.0,0.0,None,1.1,1010.4,987.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633208400,local,18.42,18.75,17.72,18.68,1010,,,93,7.37,2,100,moderate rain,2021-10-02,21,0.55,0.0,0.0,None,1.6,1009.7,987.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633212000,local,18.42,18.75,17.72,18.68,1009,,,93,7.54,3,100,moderate rain,2021-10-02,22,0.32,0.0,0.0,None,2.1,1008.8,986.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633215600,local,18.4,18.72,17.32,18.68,1008,,,93,8.4,3,100,moderate rain,2021-10-02,23,0.352,0.0,0.0,None,2.8,1007.9,985.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633219200,local,18.45,18.78,17.72,18.48,1007,,,93,7.86,4,100,moderate rain,2021-10-03,0,0.472,0.0,0.0,None,3.5,1006.2,983.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633222800,local,17.29,17.5,15.57,17.88,1007,,,93,5.26,7,100,heavy intensity rain,2021-10-03,1,0.429,0.0,0.0,None,8.6,1006.6,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633226400,local,16.72,16.88,15.57,17.01,1008,,,93,4.84,5,100,heavy intensity rain,2021-10-03,2,0.281,0.0,0.0,None,3.7,1007.5,984.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633230000,local,16.58,16.72,13.72,16.82,1009,,,93,3.45,2,97,moderate rain,2021-10-03,3,0.337,0.0,0.0,None,1.3,1008.2,985.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633233600,local,13.48,13.31,12.79,13.72,1009,,,93,3.39,1,72,light rain,2021-10-03,4,0.277,0.0,0.0,None,0.0,1009.3,986.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633237200,local,13.46,13.29,12.23,13.72,1010,,,93,3.76,,51,broken clouds,2021-10-03,5,0.263,0.0,0.0,None,0.0,1010.2,987.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633240800,local,12.91,12.68,12.01,12.93,1011,,,93,3.3,,39,scattered clouds,2021-10-03,6,0.259,0.0,0.0,None,0.0,1011.5,988.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1633244400,local,12.36,12.08,11.72,12.89,1012,,,93,2.47,,40,scattered clouds,2021-10-03,7,0.259,0.0,0.002,None,0.0,1012.5,989.4,5.0,1.0,4.0,13.7,40.4,12.4,2.5,9.9,28.5,100.4,0.0
1633248000,local,13.02,12.81,12.79,14.54,1013,,,93,2.26,,32,scattered clouds,2021-10-03,8,0.047,0.0,0.221,Medium,0.0,1013.6,990.6,99.0,57.0,42.0,339.7,229.3,153.3,88.3,65.0,339.7,355.0,3600.0
1633251600,local,14.65,14.44,13.9,15.72,1014,,,87,3.25,,23,few clouds,2021-10-03,9,0.015,0.0,0.299,High,0.0,1014.8,991.9,273.0,195.0,78.0,565.8,471.0,336.8,240.6,96.2,565.8,581.0,3600.0
1633255200,local,16.29,15.85,15.9,17.33,1016,,,72,2.31,,45,scattered clouds,2021-10-03,10,0.053,0.0,0.402,High,0.1,1015.6,992.7,376.0,272.0,104.0,549.8,676.1,424.3,306.9,117.4,549.8,763.0,3600.0
1633258800,local,16.88,16.45,16.45,17.89,1016,,,70,3.08,,46,scattered clouds,2021-10-03,11,0.236,0.0,0.502,High,0.1,1016.4,993.5,521.0,414.0,107.0,681.1,830.8,557.2,442.8,114.4,681.1,888.5,3600.0
