temp,feels_like,temp_min,temp_max,pressure,humidity,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),weather_description_encoded
19.49,19.74,17.72,19.79,1022,86,19,0.422,0.0,0.0,None,5
18.97,19.22,17.72,19.79,1022,88,20,0.374,0.0,0.0,None,5
18.94,19.21,17.72,19.23,1022,89,21,0.255,0.0,0.0,None,5
18.43,18.68,17.72,19.23,1021,90,22,0.324,0.0,0.0,None,5
18.41,18.68,17.23,18.68,1020,91,23,0.331,0.0,0.0,None,5
18.42,18.72,17.23,18.48,1020,92,0,0.328,0.0,0.0,None,5
18.42,18.72,17.23,18.48,1020,92,1,0.526,0.0,0.0,None,5
18.42,18.75,17.23,18.48,1019,93,2,0.328,0.0,0.0,None,5
17.9,18.17,17.23,18.12,1018,93,3,0.262,0.0,0.0,None,5
17.87,18.14,16.72,18.12,1018,93,4,0.256,0.0,0.0,None,5
17.59,17.83,16.68,18.12,1017,93,5,0.256,0.0,0.0,None,5
17.33,17.55,16.68,17.57,1017,93,6,0.287,0.0,0.0,None,5
17.31,17.52,16.12,17.57,1017,93,7,0.377,0.0,0.0,None,5
17.36,17.58,16.12,18.12,1017,93,8,0.215,0.0,0.064,None,5
18.44,18.77,17.23,18.72,1017,93,9,0.087,0.0,0.167,Low,5
19.53,19.84,18.12,19.59,1016,88,10,0.052,0.0,0.201,Low,5
20.55,20.83,18.72,21.45,1016,83,11,0.099,0.0,0.27,Medium,5
20.02,20.38,17.72,20.9,1015,88,12,0.265,0.0,0.29,Low,3
18.98,19.34,17.72,20.34,1015,92,13,0.741,0.0,0.214,None,5
19.03,19.42,17.89,20.34,1014,93,14,0.202,0.0,0.261,Low,5
19.03,19.42,18.44,19.79,1013,93,15,0.735,0.0,0.244,Low,3
19.02,19.38,18.44,19.23,1012,92,16,0.936,0.0,0.144,None,3
18.99,19.32,17.72,19.54,1011,91,17,0.418,0.0,0.056,None,3
18.96,19.29,17.72,19.04,1011,91,18,0.388,0.0,0.016,None,5
18.43,18.73,17.72,18.48,1011,92,19,0.52,0.0,0.0,None,3
18.42,18.75,17.72,18.48,1010,93,20,0.477,0.0,0.0,None,3
18.42,18.75,17.72,18.68,1010,93,21,0.55,0.0,0.0,None,4
18.42,18.75,17.72,18.68,1009,93,22,0.32,0.0,0.0,None,4
18.4,18.72,17.32,18.68,1008,93,23,0.352,0.0,0.0,None,4
18.45,18.78,17.72,18.48,1007,93,0,0.472,0.0,0.0,None,4
17.29,17.5,15.57,17.88,1007,93,1,0.429,0.0,0.0,None,2
16.72,16.88,15.57,17.01,1008,93,2,0.281,0.0,0.0,None,2
16.58,16.72,13.72,16.82,1009,93,3,0.337,0.0,0.0,None,4
13.48,13.31,12.79,13.72,1009,93,4,0.277,0.0,0.0,None,3
13.46,13.29,12.23,13.72,1010,93,5,0.263,0.0,0.0,None,0
12.91,12.68,12.01,12.93,1011,93,6,0.259,0.0,0.0,None,6
12.36,12.08,11.72,12.89,1012,93,7,0.259,0.0,0.002,None,6
13.02,12.81,12.79,14.54,1013,93,8,0.047,0.0,0.221,Medium,6
14.65,14.44,13.9,15.72,1014,87,9,0.015,0.0,0.299,High,1
16.29,15.85,15.9,17.33,1016,72,10,0.053,0.0,0.402,High,6
16.88,16.45,16.45,17.89,1016,70,11,0.236,0.0,0.502,High,6
17.89,17.33,15.9,19.0,1017,61,12,0.958,0.0,0.621,Medium,6
16.89,16.38,16.82,19.0,1017,67,13,0.57,0.0,0.417,Medium,6
18.6,18.21,17.57,20.1,1017,65,14,0.384,0.0,0.21,Medium,6
17.92,17.57,16.72,19.54,1018,69,15,0.205,0.0,0.278,Medium,6
17.92,17.46,17.72,18.12,1019,65,16,0.163,0.0,0.173,Medium,1
16.82,16.36,16.72,17.79,1019,69,17,0.329,0.0,0.194,None,7
15.71,15.27,15.34,16.22,1020,74,18,0.358,0.0,0.034,None,7
14.6,14.13,13.12,16.21,1021,77,19,0.472,0.0,0.0,None,5
14.03,13.55,12.01,15.66,1021,79,20,0.516,0.0,0.0,None,5
13.46,13.0,10.9,15.1,1021,82,21,0.489,0.0,0.0,None,5
12.92,12.46,10.34,14.55,1022,84,22,0.573,0.0,0.0,None,5
12.93,12.5,12.72,14.0,1022,85,23,0.591,0.0,0.0,None,5
12.37,11.93,11.72,13.43,1022,87,0,0.548,0.0,0.0,None,5
12.92,12.51,12.23,12.93,1022,86,1,0.527,0.0,0.0,None,5
12.92,12.54,11.68,12.93,1022,87,2,0.334,0.0,0.0,None,5
12.93,12.55,10.34,13.72,1022,87,3,0.34,0.0,0.0,None,5
12.94,12.54,12.23,13.72,1022,86,4,0.333,0.0,0.0,None,0
12.93,12.58,10.34,13.72,1022,88,5,0.337,0.0,0.0,None,5
12.92,12.59,11.68,12.93,1022,89,6,0.319,0.0,0.0,None,5
12.87,12.51,10.9,12.93,1023,88,7,0.33,0.0,0.002,None,0
13.48,13.16,12.79,13.72,1023,87,8,0.447,0.0,0.048,None,0
14.03,13.84,13.34,14.54,1023,90,9,0.372,0.0,0.129,None,0
15.44,15.13,14.79,15.72,1023,80,10,0.024,0.0,0.337,Medium,5
17.63,17.46,16.12,17.88,1022,77,11,0.013,0.0,0.298,Medium,5
17.42,17.33,16.72,19.55,1023,81,12,0.001,0.0,0.311,Medium,5
17.51,17.46,17.01,20.66,1023,82,13,0.182,0.0,0.237,None,5
19.92,19.85,17.01,20.66,1022,72,14,0.029,0.0,0.484,Medium,0
18.06,18.01,17.57,20.66,1022,80,15,0.084,0.0,0.424,Medium,0
17.98,17.84,17.57,19.0,1022,77,16,0.052,0.0,0.403,Medium,6
18.43,18.21,17.01,18.48,1022,72,17,0.25,0.0,0.237,Medium,0
16.81,16.64,16.12,16.82,1022,80,18,0.364,0.0,0.039,None,5
16.29,16.14,15.9,16.78,1022,83,19,0.638,0.0,0.0,None,3
15.79,15.64,15.34,16.78,1022,85,20,0.664,0.0,0.0,None,5
15.78,15.69,14.79,16.77,1023,87,21,0.699,0.0,0.0,None,5
15.21,15.16,14.79,16.21,1023,91,22,0.734,0.0,0.0,None,5
15.19,15.17,14.45,15.72,1022,92,23,0.5,0.0,0.0,None,5
15.15,15.12,14.45,15.72,1022,92,0,0.546,0.0,0.0,None,5
14.64,14.59,14.45,15.72,1021,93,1,0.492,0.0,0.0,None,3
15.15,15.15,14.45,15.72,1021,93,2,0.32,0.0,0.0,None,3
15.18,15.18,15.01,15.72,1020,93,3,0.319,0.0,0.0,None,3
15.18,15.18,15.1,15.72,1020,93,4,0.317,0.0,0.0,None,3
15.7,15.75,15.57,15.72,1020,93,5,0.316,0.0,0.0,None,3
15.71,15.76,15.66,16.22,1020,93,6,0.31,0.0,0.0,None,5
16.27,16.38,15.66,16.78,1021,93,7,0.312,0.0,0.001,None,5
16.85,17.02,16.21,17.72,1022,93,8,0.255,0.0,0.067,None,5
17.37,17.59,16.77,18.12,1022,93,9,0.151,0.0,0.188,Low,5
17.91,18.18,17.23,18.68,1023,93,10,0.271,0.0,0.216,None,5
18.48,18.81,17.89,19.23,1023,93,11,0.188,0.0,0.281,Low,5
18.58,18.92,18.34,20.34,1023,93,12,0.007,0.0,0.467,High,5
20.18,20.58,18.44,21.21,1023,89,13,0.228,0.0,0.588,High,5
20.71,20.98,20.67,21.21,1023,82,14,0.2,0.0,0.406,Medium,5
21.72,21.93,19.72,21.82,1023,76,15,0.065,0.0,0.424,High,5
20.66,20.87,19.72,21.21,1023,80,16,0.458,0.0,0.181,Low,0
20.6,20.83,18.72,20.7,1023,81,17,0.339,0.0,0.202,None,6
19.74,19.88,17.72,20.15,1023,81,18,0.444,0.0,0.041,None,1
18.89,19.03,16.72,19.04,1024,84,19,0.547,0.0,0.0,None,1
17.79,17.95,15.72,17.93,1024,89,20,0.969,0.0,0.0,None,1
16.8,16.89,15.57,16.82,1024,90,21,1.157,0.0,0.0,None,7
16.69,16.76,14.72,16.82,1025,90,22,0.966,0.0,0.0,None,1
15.65,15.67,14.72,15.7,1025,92,23,0.918,0.0,0.0,None,6
15.59,15.61,13.72,15.7,1025,92,0,0.935,0.0,0.0,None,5
15.67,15.72,14.23,15.7,1025,93,1,0.698,0.0,0.0,None,0
15.13,15.13,14.23,15.67,1024,93,2,0.541,0.0,0.0,None,5
14.99,14.97,12.72,15.15,1024,93,3,0.41,0.0,0.0,None,0
15.01,14.99,12.79,15.15,1024,93,4,0.401,0.0,0.0,None,6
15.47,15.37,12.72,15.7,1024,88,5,0.409,0.0,0.0,None,6
15.47,15.29,12.57,15.7,1024,85,6,0.401,0.0,0.0,None,6
15.47,15.27,12.01,15.7,1024,84,7,0.402,0.0,0.001,None,1
17.67,17.5,13.99,17.93,1024,77,8,0.401,0.0,0.252,Low,7
19.54,19.4,17.72,19.59,1025,71,9,0.001,0.0,0.401,Medium,7
21.21,21.08,18.9,21.26,1025,65,10,0.0,0.0,0.33,High,7
22.31,22.35,21.12,22.37,1024,67,11,0.0,0.0,0.312,Very High,7
23.47,23.49,22.89,23.48,1024,62,12,0.0,0.0,0.318,Very High,7
24.59,24.65,24.23,24.59,1023,59,13,0.005,0.0,0.323,Very High,7
25.12,25.18,24.0,25.57,1023,57,14,0.01,0.0,0.424,High,7
26.03,26.03,22.72,26.68,1022,56,15,0.0,0.0,0.407,High,7
26.53,26.53,22.72,26.82,1022,55,16,0.0,0.0,0.42,Medium,7
24.95,25.09,21.72,25.15,1022,61,17,0.344,0.0,0.256,None,7
23.44,23.59,21.78,23.48,1022,67,18,1.276,0.0,0.018,None,7
22.32,22.51,20.57,22.37,1022,73,19,0.697,0.0,0.0,None,7
21.22,21.25,19.23,21.26,1022,71,20,0.47,0.0,0.0,None,7
17.67,17.74,15.72,20.11,1022,86,21,0.516,0.0,0.0,None,7
20.41,20.26,15.72,20.7,1022,67,22,0.395,0.0,0.0,None,7
19.95,19.78,16.45,20.67,1022,68,23,0.486,0.0,0.0,None,7
19.41,19.21,15.34,20.11,1022,69,0,0.601,0.0,0.0,None,7
16.98,16.98,14.79,19.0,1022,86,1,0.369,0.0,0.0,None,7
17.99,18.06,14.23,19.0,1022,85,2,0.311,0.0,0.0,None,7
18.3,18.43,17.32,19.0,1022,86,3,0.309,0.0,0.0,None,7
17.6,17.66,17.32,18.34,1021,86,4,0.311,0.0,0.0,None,7
15.62,15.51,14.72,18.9,1021,87,5,0.309,0.0,0.0,None,7
16.26,16.19,15.72,18.34,1021,86,6,0.409,0.0,0.0,None,7
15.58,15.44,14.72,17.79,1021,86,7,0.412,0.0,0.001,None,7
18.64,18.67,18.43,19.0,1022,81,8,0.241,0.0,0.244,Low,7
21.53,21.07,20.11,22.32,1022,51,9,0.026,0.0,0.327,High,7
23.48,23.16,21.68,23.72,1022,49,10,0.0,0.0,0.331,High,7
24.86,24.63,23.34,25.15,1022,47,11,0.0,0.0,0.325,Very High,7
26.24,26.24,25.01,26.26,1021,35,12,0.0,0.0,0.325,Very High,7
27.36,27.03,25.9,27.72,1021,38,13,0.236,0.0,0.499,High,7
27.22,26.87,24.72,27.79,1020,37,14,0.507,0.0,0.64,High,7
27.89,27.44,26.77,27.93,1020,38,15,0.0,0.0,0.385,High,7
27.14,27.13,23.72,27.37,1020,43,16,0.0,0.0,0.33,Medium,7
25.64,25.64,23.44,25.7,1019,53,17,0.092,0.0,0.238,Low,7
23.99,24.14,21.78,24.04,1020,65,18,0.437,0.0,0.017,None,7
22.32,22.44,20.11,22.37,1020,70,19,0.684,0.0,0.0,None,7
21.22,21.3,18.9,21.26,1020,73,20,0.75,0.0,0.0,None,7
20.66,20.77,18.12,20.7,1020,76,21,0.682,0.0,0.0,None,7
20.1,20.18,17.01,20.15,1020,77,22,0.573,0.0,0.0,None,7
19.57,19.62,14.72,20.15,1020,78,23,0.577,0.0,0.0,None,7
19.28,19.3,14.72,19.59,1020,78,0,0.426,0.0,0.0,None,7
19.92,19.74,12.72,20.15,1020,68,1,0.376,0.0,0.0,None,1
15.89,15.91,15.01,16.22,1019,91,2,0.379,0.0,0.0,None,7
19.36,19.21,12.72,19.59,1019,71,3,0.353,0.0,0.0,None,7
13.69,13.57,12.72,15.66,1019,94,4,0.334,0.0,0.0,None,7
13.35,13.2,12.72,15.1,1019,94,5,0.333,0.0,0.0,None,7
13.94,13.84,13.72,14.55,1019,94,6,0.319,0.0,0.0,None,7
13.2,13.06,12.72,14.55,1019,95,7,0.344,0.0,0.0,None,7
15.39,15.31,14.72,17.23,1019,89,8,0.356,0.0,0.214,Low,7
23.04,22.99,18.72,23.48,1020,61,9,0.0,0.0,0.323,High,7
23.16,23.18,21.68,23.48,1020,63,10,0.0,0.0,0.32,High,7
24.55,24.63,22.72,25.66,1020,60,11,0.0,0.0,0.325,Very High,7
25.62,25.65,22.72,25.7,1020,54,12,0.0,0.0,0.33,Very High,7
26.62,26.62,22.72,26.82,1019,48,13,0.008,0.0,0.38,Very High,7
27.33,27.67,25.67,27.37,1019,49,14,0.0,0.0,0.381,High,7
27.28,27.49,24.55,27.37,1019,47,15,0.0,0.0,0.364,High,7
26.18,26.18,22.89,26.26,1018,53,16,0.003,0.0,0.376,Medium,7
25.08,25.13,22.33,25.15,1019,57,17,0.208,0.0,0.231,None,7
22.74,22.98,15.72,23.48,1019,73,18,0.458,0.0,0.017,None,1
20.94,21.1,15.72,21.45,1019,77,19,0.949,0.0,0.0,None,0
18.8,18.93,15.67,19.79,1020,84,20,0.882,0.0,0.0,None,5
18.28,18.38,15.67,18.68,1020,85,21,0.589,0.0,0.0,None,5
17.77,17.93,15.67,18.12,1020,89,22,0.527,0.0,0.0,None,5
17.23,17.33,15.01,17.37,1020,89,23,0.445,0.0,0.0,None,5
16.69,16.82,14.72,16.82,1019,92,0,0.375,0.0,0.0,None,5
16.63,16.72,13.72,16.82,1019,91,1,0.384,0.0,0.0,None,5
17.36,17.55,13.72,17.37,1019,92,2,0.463,0.0,0.0,None,5
16.74,16.85,12.72,16.82,1019,91,3,0.413,0.0,0.0,None,5
17.37,17.51,13.72,17.37,1019,90,4,0.34,0.0,0.0,None,5
17.09,17.18,13.72,17.37,1019,89,5,0.323,0.0,0.0,None,5
17.37,17.49,13.72,17.37,1019,89,6,0.314,0.0,0.0,None,5
16.82,16.93,14.72,16.82,1019,91,7,0.374,0.0,0.0,None,0
18.76,18.96,14.72,19.04,1020,87,8,0.232,0.0,0.09,None,0
20.15,20.39,15.72,20.15,1020,83,9,0.242,0.0,0.304,Medium,5
20.98,21.27,16.72,21.26,1020,82,10,0.0,0.0,0.455,High,5
22.29,22.53,18.72,22.37,1020,75,11,0.222,0.0,0.562,High,5
23.69,23.94,17.72,25.9,1020,70,12,0.0,0.0,0.341,Very High,5
24.7,24.98,16.72,25.9,1019,67,13,0.0,0.0,0.337,Very High,5
19.34,19.13,16.72,26.45,1019,69,14,0.0,0.0,0.334,High,5
25.14,25.35,16.72,26.45,1018,63,15,0.143,0.0,0.562,Medium,5
18.31,18.02,14.72,24.23,1018,70,16,0.075,0.0,0.476,Medium,5
23.54,23.91,15.72,24.23,1018,75,17,0.391,0.0,0.178,Low,5
21.89,22.2,14.72,23.12,1018,79,18,0.49,0.0,0.03,None,5
21.31,21.64,13.72,21.82,1018,82,19,1.089,0.0,0.0,None,5
20.74,21.12,12.72,21.26,1019,86,20,0.985,0.0,0.0,None,5
20.25,20.58,13.72,20.7,1019,86,21,0.732,0.0,0.0,None,5
20.54,20.45,17.23,20.7,1019,69,22,0.685,0.0,0.0,None,5
20.7,20.31,12.72,21.26,1019,57,23,0.666,0.0,0.0,None,5
19.75,19.32,12.72,20.15,1019,59,0,0.735,0.0,0.0,None,5
19.75,19.35,12.72,20.15,1018,60,1,0.566,0.0,0.0,None,5
20.43,19.81,12.72,20.7,1018,49,2,0.323,0.0,0.0,None,5
16.02,15.61,14.72,18.44,1018,74,3,0.274,0.0,0.0,None,5
17.88,17.58,14.79,19.55,1018,71,4,0.275,0.0,0.0,None,5
17.99,17.65,13.68,19.0,1018,69,5,0.274,0.0,0.0,None,5
18.47,17.68,17.88,19.0,1019,50,6,0.272,0.0,0.0,None,0
17.93,17.16,17.88,18.44,1019,53,7,0.27,0.0,0.001,None,0
18.48,17.79,18.43,18.9,1019,54,8,0.088,0.0,0.199,Low,0
19.59,19.01,19.45,19.72,1020,54,9,0.063,0.0,0.315,High,0
20.17,19.63,20.15,20.72,1020,53,10,0.027,0.0,0.321,High,1
22.4,21.95,21.77,22.72,1020,48,11,0.153,0.0,0.457,High,1
24.05,23.69,22.79,24.72,1019,45,12,0.958,0.0,1.016,Medium,6
24.96,24.66,23.99,25.72,1019,44,13,0.007,0.0,0.509,High,0
24.18,23.78,23.99,26.72,1018,43,14,0.014,0.0,0.388,Very High,0
24.7,24.32,24.45,26.72,1018,42,15,0.01,0.0,0.447,High,0
24.63,24.25,23.99,25.72,1018,42,16,0.016,0.0,0.346,High,1
24.04,23.67,23.68,24.55,1017,45,17,0.139,0.0,0.175,Low,7
22.87,22.41,21.72,23.44,1018,46,18,0.326,0.0,0.02,None,7
21.68,21.13,18.72,22.33,1018,47,19,0.489,0.0,0.0,None,7
21.15,20.6,18.72,21.78,1018,49,20,0.451,0.0,0.0,None,1
20.25,19.85,17.57,21.22,1018,58,21,0.635,0.0,0.0,None,7
19.68,19.3,17.01,20.67,1018,61,22,0.567,0.0,0.0,None,7
17.26,16.58,14.72,20.66,1018,59,23,0.556,0.0,0.0,None,7
18.73,18.2,17.57,20.1,1018,59,0,0.547,0.0,0.0,None,7
19.31,18.84,16.45,20.1,1018,59,1,0.627,0.0,0.0,None,7
19.07,18.6,16.45,19.54,1018,60,2,0.425,0.0,0.0,None,6
18.83,18.34,15.34,18.99,1018,60,3,0.36,0.0,0.0,None,6
18.59,18.1,13.68,18.72,1018,61,4,0.366,0.0,0.0,None,6
18.39,17.9,13.68,18.72,1018,62,5,0.37,0.0,0.0,None,1
18.4,17.91,13.68,18.72,1018,62,6,0.361,0.0,0.0,None,1
18.37,17.91,12.57,18.72,1018,63,7,0.382,0.0,0.002,None,6
19.02,18.36,17.79,19.04,1019,53,8,0.279,0.0,0.209,Medium,0
19.6,18.97,19.59,20.11,1019,52,9,0.001,0.0,0.255,Medium,0
20.79,20.26,20.7,22.01,1020,51,10,0.0,0.0,0.263,High,0
22.45,21.98,22.37,24.23,1020,47,11,0.0,0.0,0.264,Very High,0
24.06,23.64,23.9,24.72,1019,43,12,0.0,0.0,0.265,Very High,0
25.16,24.8,24.54,25.72,1019,41,13,0.0,0.0,0.267,Very High,5
25.23,24.83,25.1,26.72,1018,39,14,0.006,0.0,0.287,Very High,5
25.29,24.89,25.1,27.72,1018,39,15,0.001,0.0,0.318,High,5
24.79,24.34,24.59,27.72,1018,39,16,0.037,0.0,0.337,Medium,5
24.23,23.73,23.68,26.72,1018,39,17,0.262,0.0,0.119,Low,5
24.35,24.33,21.45,24.72,1018,57,18,0.295,0.0,0.015,None,5
22.83,22.68,18.68,23.44,1018,58,19,1.151,0.0,0.0,None,5
20.75,20.03,20.7,22.33,1018,44,20,0.566,0.0,0.0,None,5
20.9,20.66,20.57,21.78,1019,62,21,0.577,0.0,0.0,None,5
19.86,19.49,19.72,20.67,1019,61,22,0.444,0.0,0.0,None,6
19.84,19.45,19.72,20.1,1019,60,23,0.417,0.0,0.0,None,7
19.66,19.25,19.54,20.01,1019,60,0,0.445,0.0,0.0,None,7
18.81,18.29,18.72,19.45,1018,59,1,0.415,0.0,0.0,None,7
18.98,18.5,18.72,20.01,1018,60,2,0.432,0.0,0.0,None,1
18.12,17.61,17.72,19.45,1018,62,3,0.298,0.0,0.0,None,6
19.31,18.92,18.43,19.72,1018,62,4,0.261,0.0,0.0,None,1
17.95,17.45,17.72,18.43,1018,63,5,0.253,0.0,0.0,None,7
17.79,17.3,17.72,18.44,1018,64,6,0.29,0.0,0.0,None,7
16.94,16.41,16.72,17.89,1018,66,7,0.263,0.0,0.0,None,7
19.02,18.15,17.88,19.04,1018,45,8,0.307,0.0,0.16,Low,7
20.17,19.44,19.55,20.72,1019,46,9,0.0,0.0,0.261,High,7
21.28,20.64,21.12,22.32,1019,45,10,0.0,0.0,0.266,High,7
22.73,22.23,22.23,23.72,1019,45,11,0.0,0.0,0.273,Very High,7
24.08,23.69,23.9,25.34,1018,44,12,0.0,0.0,0.267,Very High,7
25.19,24.89,25.01,25.72,1017,43,13,0.009,0.0,0.425,Very High,7
25.74,25.44,25.1,26.72,1017,41,14,0.405,0.0,0.63,High,7
26.32,26.32,25.66,27.72,1016,41,15,0.417,0.0,0.538,High,7
26.25,26.25,25.66,27.23,1017,39,16,0.006,0.0,0.391,Medium,7
25.16,24.75,24.55,26.12,1017,39,17,0.241,0.0,0.208,Low,7
22.17,21.77,20.72,23.99,1017,51,18,0.454,0.0,0.012,None,7
19.76,19.25,17.72,22.32,1017,56,19,1.244,0.0,0.0,None,7
18.94,18.72,16.72,21.22,1018,70,20,0.78,0.0,0.0,None,7
18.32,18.11,15.72,21.78,1018,73,21,0.472,0.0,0.0,None,7
18.58,18.58,14.79,21.78,1018,80,22,0.511,0.0,0.0,None,7
17.48,17.42,16.72,19.0,1018,82,23,0.451,0.0,0.0,None,7
17.09,17.02,16.72,18.34,1018,83,0,0.435,0.0,0.0,None,7
16.74,16.51,16.72,17.23,1018,78,1,0.508,0.0,0.0,None,7
17.24,16.85,16.21,17.79,1018,70,2,0.375,0.0,0.0,None,7
18.28,17.89,17.32,18.72,1018,66,3,0.377,0.0,0.0,None,7
16.91,16.28,16.72,17.79,1018,62,4,0.463,0.0,0.0,None,7
14.69,13.81,13.72,17.23,1018,61,5,0.359,0.0,0.0,None,7
16.56,15.86,16.21,17.23,1018,61,6,0.352,0.0,0.0,None,7
16.58,15.94,16.21,17.33,1019,63,7,0.397,0.0,0.0,None,7
17.46,16.85,16.77,19.0,1019,61,8,0.405,0.0,0.188,Low,7
19.59,18.39,19.59,20.11,1019,30,9,0.024,0.0,0.266,High,7
20.73,19.64,20.66,21.78,1019,30,10,0.0,0.0,0.303,High,7
22.38,21.43,22.23,22.89,1019,29,11,0.0,0.0,0.303,Very High,7
23.55,22.67,23.34,25.34,1019,27,12,0.16,0.0,0.51,High,7
24.64,23.86,24.45,25.72,1019,27,13,0.028,0.0,0.422,Very High,7
25.71,25.04,24.54,26.72,1018,27,14,0.0,0.0,0.266,Very High,7
